3	68	2.13	72.23
3	69	2.21	73.22
3	70	2.3	74.21
3	71	2.39	75.2
3	72	2.47	76.19
3	73	2.55	77.18
3	74	2.64	78.16
3	75	2.72	79.14
3	76	2.81	80.12
3	77	2.88	81.09
3	78	2.96	82.07
3	79	3.05	83.05
3	80	3.13	84.02
3	81	3.2	85
3	82	3.28	85.98
3	83	3.35	86.94
3	84	3.42	87.91
3	85	3.5	88.88
3	86	3.57	89.84
3	87	3.64	90.81
3	88	3.71	91.78
3	89	3.79	92.75
3	90	3.85	93.71
3	91	3.92	94.67
3	92	3.97	95.63
3	93	4.04	96.59
3	94	4.1	97.54
3	95	4.17	98.5
3	96	4.23	99.46
3	97	4.29	100.42
3	98	4.34	101.38
3	99	4.4	102.34
3	100	4.45	103.29
3	101	4.51	104.25
3	102	4.56	105.2
3	103	4.61	106.16
3	104	4.67	107.11
3	105	4.72	108.07
3	106	4.76	109.02
3	107	4.81	109.97
3	108	4.86	110.92
3	109	4.9	111.88
3	110	4.94	112.84
3	111	4.99	113.79
3	112	5.04	114.74
3	113	5.08	115.69
3	114	5.12	116.64
3	115	5.16	117.6
3	116	5.2	118.55
3	117	5.24	119.5
3	118	5.29	120.46
3	119	5.32	121.41
3	120	5.36	122.36
3	121	5.39	123.3
3	122	5.43	124.25
3	123	5.47	125.2
3	124	5.49	126.15
3	125	5.53	127.1
3	126	5.57	128.05
3	127	5.6	129
3	
